,confirmed_daily,confirmed_cumulative,deaths_daily,deaths_cumulative,recovered_daily,recovered_cumulative,prevalence_daily,incidence_rate,mortality,cfr_daily,cfr_cumulative
1/22/20,557.0,557,17.0,17,30.0,30,510,0.01,0.0,3.05,3.05
1/23/20,100.0,657,1.0,18,2.0,32,607,0.0,0.0,1.0,2.74
1/24/20,287.0,944,8.0,26,7.0,39,879,0.0,0.0,2.79,2.75
1/25/20,493.0,1437,16.0,42,3.0,42,1353,0.01,0.0,3.25,2.92
1/26/20,683.0,2120,14.0,56,14.0,56,2008,0.01,0.0,2.05,2.64
1/27/20,809.0,2929,26.0,82,9.0,65,2782,0.01,0.0,3.21,2.8
1/28/20,2651.0,5580,49.0,131,43.0,108,5341,0.03,0.0,1.85,2.35
1/29/20,589.0,6169,2.0,133,19.0,127,5909,0.01,0.0,0.34,2.16
1/30/20,2068.0,8237,39.0,172,18.0,145,7920,0.03,0.0,1.89,2.09
1/31/20,1690.0,9927,42.0,214,80.0,225,9488,0.02,0.0,2.49,2.16
2/1/20,2111.0,12038,46.0,260,62.0,287,11491,0.03,0.0,2.18,2.16
2/2/20,4749.0,16787,104.0,364,189.0,476,15947,0.06,0.0,2.19,2.17
2/3/20,3100.0,19887,64.0,428,151.0,627,18832,0.04,0.0,2.06,2.15
2/4/20,4012.0,23899,66.0,494,230.0,857,22548,0.05,0.0,1.65,2.07
2/5/20,3745.0,27644,72.0,566,273.0,1130,25948,0.05,0.0,1.92,2.05
2/6/20,3162.0,30806,70.0,636,363.0,1493,28677,0.04,0.0,2.21,2.06
2/7/20,3594.0,34400,85.0,721,523.0,2016,31663,0.05,0.0,2.37,2.1
2/8/20,2731.0,37131,87.0,808,601.0,2617,33706,0.03,0.0,3.19,2.18
2/9/20,3031.0,40162,100.0,908,630.0,3247,36007,0.04,0.0,3.3,2.26
2/10/20,2609.0,42771,107.0,1015,702.0,3949,37807,0.03,0.0,4.1,2.37
2/11/20,2043.0,44814,100.0,1115,735.0,4684,39015,0.03,0.0,4.89,2.49
2/12/20,418.0,45232,5.0,1120,467.0,5151,38961,0.01,0.0,1.2,2.48
2/13/20,15152.0,60384,253.0,1373,1143.0,6294,52717,0.19,0.0,1.67,2.27
2/14/20,6528.0,66912,152.0,1525,1767.0,8061,57326,0.08,0.0,2.33,2.28
2/15/20,2143.0,69055,143.0,1668,1336.0,9397,57990,0.03,0.0,6.67,2.42
2/16/20,2183.0,71238,104.0,1772,1470.0,10867,58599,0.03,0.0,4.76,2.49
2/17/20,2035.0,73273,98.0,1870,1720.0,12587,58816,0.03,0.0,4.82,2.55
2/18/20,1882.0,75155,140.0,2010,1765.0,14352,58793,0.02,0.0,7.44,2.67
2/19/20,500.0,75655,115.0,2125,1771.0,16123,57407,0.01,0.0,23.0,2.81
2/20/20,561.0,76216,125.0,2250,2058.0,18181,55785,0.01,0.0,22.28,2.95
2/21/20,630.0,76846,4.0,2254,713.0,18894,55698,0.01,0.0,0.63,2.93
2/22/20,1762.0,78608,208.0,2462,3998.0,22892,53254,0.02,0.0,11.8,3.13
